tfG_HPfdD9k|001. change of heart
IYWkqosyybM|088. stingy
oCGTwtvVq_Q|089. against the clock
82YoLk6QQqY|090. hard cash
MoOdNZ_8mDk|091. ignorance is bliss
Sos6Ybg7Aaw|092. take notes
3tGYDh3_RvQ|093. bite off more than you can chew
jIkwO0GHCSo|094. fall through the cracks
eleru27LPhE|095. cry over spilled milk
uL5O-EukGtg|096. a stone's throw
2RDcl8WbP9E|097. deal with
nQlFybj1q0w|098. piggy bank
7Qj7rgC7zFg|099. jump the gun
FiZjF9oSH5Q|100. in a similar vein
7WcCCjjPwng|101. behind the scenes
3ytaAZTEckY|102. go back to the drawing board
Nsd-pr-R2co|103. put all your eggs in one basket
wYPxKCsdoi4|104. long story short
QVNDY3ZFFi8|105. as luck would have it
O9EcrhWIlcw|106. drop out
4UtCoPhf9M8|107. the school of hard knocks
snwkO3Z5IUM|108. spill the beans
38_fmgL7RhI|109. you only live once, YOLO
P2RtqKBI1gs|110. the early bird gets the worm
HWdpL9Vh-t0|111. go down in flames
8a4cfjxoYVo|112. the point is that
TRoLb3wmXRc|113. old school
RJgptwjw7EY|114. bad blood
xoWkbQm6XqA|115. up the ante
NeV6BqOPCiw|116. jump on the bandwagon
Oo8Me1qzyWA|117. as plain as day
7ZoD04mAvUU|118. fast buck
YP66ojgR9sI|119. chip off the old block
P7eIN1ptLRA|120. break a leg
QzMk7avtcx4|121. comprise of
KCC-_I_8vqY|122. get out of your system
866khVhb2rg|123. curiosity killed the cat
czUxva_5-eU|124. up to speed
PH16taMOawM|125. cram for a test
G1no7EAlHCg|126. off the beaten path
gEyzyde9HOg|127. get out of hand
YnX2x-eNCWg|128. live on a shoe string
XgmV6n-wsUQ|129. save someone's bacon
ePD7Urvozks|130. live it up
NjrnKGWY8Ks|131. as sick as a dog
6A_NOaJkVwE|132. wrap it up
Yn1mwVhpwRs|133. further research is required
n-HMS-0l798|134. get the ball rolling
3jdZNFc7oMw|135. whirlwind tour
49XnUCwYs5Y|136. wouldn't be caught dead
WYa_8P1zk1c|137. under the thumb
x5v-QUhLz8M|138. ballpark figure
tSLKG0JNecY|139. get something off your chest
iR4sBQ5Zag4|140. highway robbery
GXpP3svgqQw|141. die on the vine
JMDHEzDaqs4|142. get your feet wet
WkRorvTZ1s4|143. put on one's thinking cap
1TfXa9NjrWs|144. copycat
HCY6Aoz_Ywo|145. from the ground up
82IxBAGK2K0|146. it's a steal
nuaWFhHeS0o|147. easy does it
3I1oCL_ZMDo|148. armed to the teeth
BG33r3RyZIo|149. in deep water
K-OzHIPPI0s|150. stand up and be counted
fnUEtPey3Q4|151. put in one's two cents
BVvEwoFFw0c|152. be on edge
pniOLXLVhCA|153. don't count your chickens before they hatch
xiOMd_0oimk|154. x marks the spot
BTZA9x6be5U|155. big picture
pvT0k0Wy0rA|156. with regard to
_0z8I5LaS8U|157. the tip of the iceberg
5KHHX24guW8|158. open book
XU4La1z8MMA|159. back-to-back
wzlpYUH1i50|160. the scenic route
glSp7w1-F7c|161. ahead of time
_6V1ja8R-10|162. the devil is in the details
5bPsGMrR3iA|163. shop till you drop
kIzO2w5itak|164. touch base
VJdI0BT8tMg|165. break even
xvoJ-IVRJ8A|166. get your act together
eYsy-EY9IdM|167. read between the lines
XEMOJOwY1JU|168. ace a test
JDs5DeYE2cw|169. off the cuff
hHe12qbcQNg|170. pocket change
SeDnUoOURvk|171. a picture is worth a thousand words
qtHos0I6Y-0|172. small world
FtmJCpXqjCs|173. loaded
nu5obcXVWXQ|174. hit the nail on the head
RtUGBMkfqOw|175. talk shop
asf6D4zWHac|176. red tape
w7I7x2_xY-s|177. get a taste of medicine
-wVhirhacmY|178. follow in someone's footsteps
sP7hM9pvm-c|179. you get what you pay for
iDJn5xQM1ds|180. bite the bullet
xln1xWgwzyo|181. road to riches
dALa_L4_iGY|182. add insult to injury
qXPQwoynG0g|183. at the end of the day
DbX6bbMNF50|184. in the dark
Sa5pOHV6Ths|185. rock the boat
4l-8nDKD9YQ|186. a growing body of evidence
DacXlyzT8OE|187. based on the
yCAsfgcIhkM|188. on the house
ZMJU48GzQdE|189. good things come to those who wait
9kh4_l168ik|190. prior to
ibeiZu06oac|191. off the hook
y8BYHm6fJHk|192. under the circumstances
eyBMVKus8sU|193. bend over backwards
Gbyl8od6aKg|194. buy time
VdQd_Agg0N0|195. this suggests that
MmpPrlBt_LU|196. lose track of time
vlVBU-1Cet4|197. the purpose of this research
eXgiLco58GM|198. pour money down the drain
0UvHa67z88c|199. point out
tK1UI_7Y7Jk|200. pin money
q0JDse_wFNY|201. the ball is in your court
uZRLXK7CH5c|202. over the top
OPXTNm2pHiA|203. know the ropes
gNL5e7tnais|204. wear your heart on your sleeve
STtuyuT6qdc|205. knowledge is power
tDvuv1wq-xk|206. a dime a dozen
BwkDyctf85c|207. pedal to the metal
1G8E4d1fm0I|208. in a bind
TzZlMlCvbKg|209. cut to the bone
cFyOvsWoZ9Y|210. a lack of
jWjOrz7DwNI|211. go the extra mile
jOqUbl4usuQ|212. breezed through
ank184PmPtE|213. don't cry over spilled milk
3NRH-nOxVwg|214. drive someone up the wall
OL2kjeJcdD4|215. by all means
yhNDjzXjH4M|216. the best of both worlds
Li5eWK5iolw|217. cut ties
wYg6zDtuwaA|218. catch the sun
z_KpHsFrVc8|219. it should be noted that
h4U3_dUiz2c|220. actions speak louder than words
yYylw3yOtp4|221. take for granted
uFmwzVllTSc|222. pass with flying colors
CxV9H1EG8fY|223. so far so good
5pV2q6UP5Tg|224. travel light
3t6LwPV3dk4|225. what goes around comes around
y4s4C_X-XcA|226. learning curve
dVq8VW0Pmcc|227. degrees of separation
F24WkIVHl98|228. clear the air
TFwxB0HJdpc|229. keep me in the loop
qZCgq0wdwQs|230. call the shots
x26sa9aDPAI|231. keep your eyes peeled
SUNDNYZChNw|232. provide insight into
hsCpS6u6uu4|233. up in the air
xlZHPlIzx8o|234. as a whole
-NQMvCgl6PU|235. pull yourself together
S2_PKmMb-uU|236. in black and white
kFqoLij1AXA|237. blow your own trumpet
ZSZ_gknDSQo|238. no pain no gain
Ox2np-7E-zA|239. all the same
fFmJ6PY1Scg|240. close the deal
f0927noHrgY|241. learn the ropes
PFXSqHJpgAI|242. regardless of
3C4j6t425KQ|243. contrary to
_SXMPcPgPFE|244. go with the flow
u2U8TuGZi6Y|245. out of one's depth
fBgwCEROjMc|246. get a handle on
Pk6JDBb7w-c|247. under one's belt
MozTjStK8oY|248. with this in mind
FHv1f3J_V5E|249. home from home
KrtAYpls6_M|250. cold call
Uha2TA9cKRM|251. like two peas in a pod
svHFHojQi3A|252. saved by the bell
IPMj5wH-UEw|253. to the tune of
gbEBBjxFEOc|254. feel like a million dollars
91Qem7Pr5J4|255. down payment
3ahiOy3I1W4|256. bite your tongue
g3JNHMf8eOM|257. keep one's head above water
nPAT49Arae8|258. on the grounds that
NsJuts4FHJo|259. beat around the bush
xzFAz_K4HoY|260. rule of thumb
kEa_XSjKdQI|261. give someone a piece of mind
mkJM5r9LBZM|262. drown your sorrows
edyNZ1YVsr0|263. keep someone in the loop
k7c_mrSzTO4|264. snowed under
frw82Sn7QGk|265. hard-and-fast rule
blVPadlGrrM|266. bring home the bacon
fiF-3fN16XY|267. break the bank
47qXE-b3hwQ|268. easy come, easy go
nIA9pNuhvxs|269. pull out all the stops
CpL5KfhWYc4|270. word of mouth
lQOkE3vsGpY|271. your guess is as good as mine
fOCd2H-qgPE|272. wrap your head around
l0BxL4Kwj6w|273. drive a hard bargain
9rEsi_OovUU|274. Fill in the blanks
aHusnVUHWhM|275. rolling in it
FDYxJb5lfBI|276. when pigs fly
nYmGCklq-5I|277. rainy day fund
nbk__oxG8dQ|278. roll with the punches
11gI6h6k5hQ|279. take a hike
gF1PHA8mMr8|280. see the light
yaaziqP9dWg|281. in the driver's seat
KJieUl8zZUM|282. hands-on experience
ZtyQifkgvBc|283. get a head start
xg3yncFs2Pk|284. down the road
BU_mPqgtvy4|285. pull a fast one
ZZdUGhhP6Tw|286. look before you leap
DyxqVVEOZBI|287. zip your lip
5cztL-slsOE|288. for instance
Nxw7WQzITzg|289. furthermore
Aq0YjBp0AIs|290. take it with a grain of salt
uDTaGv5Fz6o|291. in no time
QxtAn8VOEio|292. attribute to
Tpudh3We2bM|293. fair and square
ZoNrNP5z598|294. carry the day
Nfn5W2BH28g|295. skip class
_5jR2oU3bt8|296. sleeping partner
hMUUTTjLRfA|297. as mentioned previously
Qnp79rSAfOo|298. bury the hatchet
GM1lmlUTJLc|299. cold feet
67VCq4XruvI|300. window shopping
u4uC0ust698|301. lose one's shirt
5dawuQyaZUY|302. bob's your uncle
X_Liv1t7HNg|303. for the purpose of
t2_afZwKIB0|304. lost for words
YkP0rU32wT8|305. notwithstanding
kLuZ2zTYKfc|306. fall flat
FGtG_21vyWA|307. shed light on
A_f3XQoKeJk|308. tighten one's belt
fLmJjapByms|309. play it by ear
L9ZUW6rFGQE|310. leave no stone unturned
HNcEdwLB2w4|311. so far, so good
VGyubHjps4U|312. slow but sure
AVeyUZfSmSY|313. road rage
aD-rI9g7jgc|314. in the nick of time
VSqNZxS4fFE|315. brought home the bacon
S__4tIJTjvc|316. in addition to
rf7SCZBNksE|317. beat the rush
T40jS3kLiRg|318. catch someone off guard
JAOHRRATHhw|319. sitting pretty
sMyptNUgePs|320. cap and gown
d-5bc7FxxtM|321. skeleton in the closet
8bBB81zrP84|322. sell like hotcakes
wEMFMgdwyrM|323. it is widely accepted that
YSmIAN_jbEY|324. grey matter
ndxY0rue5ng|325. lose-lose situation
ZKXB65lAMYk|326. by heart
NE3EffkVKZM|327. not a soul in sight
VohVuvPM8JU|328. in contrast to
B7JrAYER3_w|329. burn the candle at both ends
g0ZVDHNpWNA|330. once and for all
l6Oqb-Ga9BE|331. caught red-handed
uRLce-tkU1k|332. stand one's ground
7sdXWXOuUDU|333. every now and then
euOW392MFX0|334. hit the sack
5a0EiCLn19A|335. speak of the devil
_5iem0JsIQk|336. keep in touch
YQFNLAwMXLM|337. get a foot in the door
7a1cmM4RZ20|338. draw attention to
te84vzJ_ck8|339. in the middle of nowhere
TUaE-M4HbCA|340. no-brainer
svBqwWez_RM|341. have bigger fish to fry
66z4hkutCKQ|342. go belly up
JfbgCGvA2Ok|343. add fuel to the fire
-xkZFCZQ55A|344. play hooky
Nb8bitFKcfY|345. stay on track
M2nb0XC_TSc|346. for the sake of
8SXJUhzbPhA|347. a penny saved is a penny earned
GiSPqdgFfo4|348. in the same boat
gGl8skbJdAk|349. time flies
YoijnwtvTCM|350. bookworm
EvFZdInqF7I|351. big fish in a small pond
pAaIDAJwtpQ|352. red-eye flight
NEtqEz6szLI|353. on the other hand
_2uQcIyJZIw|354. hold your horses
LcN95OAfJSc|355. for a pittance
JRq2VM5O5hg|356. give someone the benefit of the doubt
Du0wyCsinn0|357. sail through
qsYykPrLiGE|358. through and through
kWjePPnF6fY|359. strapped for cash
mbRecghxW-Q|360. quick as a flash
R2-qDyMZppQ|361. best thing since sliced bread
0bgVq0CpeYU|362. get the show on the road
2J7jwL0YRkQ|363. queen of the road
o3Rk_7x82gc|364. over the moon
KY8IrKKKYdQ|365. make the grade
ME2Hm9SiyKY|366. mind one's p's and q's
bK7utJ36W3A|367. the likelihood of
KNFGchK8Jgw|368. get away from it all
7ZwYWeVSTN8|369. once in a blue moon
Eo1GSATvSAI|370. safe and sound
FUE-mmL-kNY|371. an axe to grind
wWGHKQRmnJM|372. value for money
fkowhUpAoSQ|373. as right as rain
EVHQJP1DoNA|374. the present study
FMS3VcrLFsg|375. shape up or ship out
TSpIdYv4PIg|376. played a significant role in
3vPwgqUIseA|377. time is money
OPlgkvpKmYQ|378. money burns a hole in one's pocket
knBQ9BYvnPA|379. nest egg
CQn1Xx5LEoQ|380. out of the blue
lS_C0jPUHoI|381. off the top of my head
doGCQvBjeHQ|382. think tank
v74pqe5sJbg|383. to put it simply
6TbnUsn2ep0|384. bang for your buck
tZIpuc06hTI|385. take into account
wUiuNd6OKgo|386. money to burn
PA_E9LtcEBk|387. sit tight
5q6eqsRxNrE|388. learn the hard way
gwevmClJxA4|389. consistent with
jw4Idd_aiF4|390. raise the bar
G-uaLef-eW4|391. penny for your thoughts
RlnGfYX8mw0|392. get wind of something
7239J962lH0|393. cost an arm and a leg
XIGk4tg2oKM|394. out of left field
aSlH5lXvNfU|395. under the weather
BdDrDC9cmOY|396. no strings attached
SaY76OwoV_w|397. cry wolf
7ucr65n5qWI|398. at your wit's end
jBqEYS0abkk|399. a wide range of
gbYjTmo7wUM|400. dirt cheap
tVy0rmyMty4|401. see the sights
bA_mAVofFWQ|402. an increasing number of
DDu6yYa_vE4|403. cave in
XyonpCrUGWw|404. above and beyond
VaKi79OaUfY|405. yellow streak
WZ-PDzQWHHU|406. barking up the wrong tree
M_Jn241Vrxw|407. now or never
plU4q1qMbFY|408. every dog has his day
0BSVAaxHd10|409. through the grapevine
wlRusCR6kh4|410. change of scenery
pCFN0oeJqGU|411. light at the end of the tunnel
WL3-NBp14JE|412. on the back burner
HjFMf_rzzTY|413. give credit where credit is due
wu3JNUE_cpc|414. see eye to eye
ekTNBDSeI_c|415. travel bug
ma4UtQZXTOs|416. hit the road
8lHf51yk-EA|417. let sleeping dogs lie
H13izOIPC-c|418. at all costs
dIXi-AoyNtQ|419. teacher's pet
nScF5K8-whI|420. in the heat of the moment
QVKN6px3glA|421. eager beaver
w53pG5T5oS4|422. burn bridges
VBKNzN45c5w|423. penny-pincher
noVfVuStSWY|424. engage in
gH4MoiP4tX8|425. tourist trap
pGxDhoSpORc|426. burn the midnight oil
eXX-LnpDMDQ|427. watching the world go by
nFBBZ69BH3g|428. blow off steam
YaD0FOobWis|429. wrap up
D7gkhowbH7c|430. it's not rocket science
ZmZVfeWujn8|431. ants in your pants
zynRdQldBe8|432. down in the dumps
xq2qmHGr6RE|433. take a rain check
gP3PNFk0N3I|434. whiz kid
TI45ghCKFiw|435. a plethora of
aXzdf0dDvTM|436. you can't judge a book by its cover
TxvTEr-q9HM|437. sit on the fence
_aNUvnoQ7Uw|438. on a shoestring
1ycwUPaPKdg|439. make a move
esEkv48LYjg|440. go out on a limb
CwWmdc390AQ|441. deep pockets
9itgZldywMc|442. under one's wing
u5qtaQ-aPok|443. cut someone some slack
RfTWxDqrq2o|444. in the black
W6Tzdssr5cY|445. blow a fuse
fgDhWR_eD0c|446. dead end
ec67qQ2xWPc|447. make sense
v_VYFH2PdBI|448. up a creek without a paddle
Q81PVnyrDeE|449. out of the woods
HkFrF50KfeI|450. for the most part
zys9fMqwVtc|451. half-baked
tCyb8amIA54|452. hard feelings
JTeOJbwWaHc|453. end of the road
6ttt2FxzaD8|454. drive someone crazy
baDQgh7iMMA|455. spend money like water
dYYtWzrmYlQ|456. easy money
GpwzpDiP2Qc|457. by means of
itQIsEF_mbU|458. in the red
w7M6n0UuVww|459. a stitch in time saves nine
AaDDKox5HGc|460. chill to the bone
glR3yxLt888|461. follow suit
BYAdRjJVdGk|462. ahead of the game
FvbuRRBeUbE|463. put your foot down
9ixQSoMLL2o|464. stand out
w7WnuJbI9lY|465. better late than never
7MziRADxbVg|466. game changer
1GPXLYRlX8c|467. silver lining
kgxdVqbVo6U|468. through thick and thin
gwT9g0_FZT4|469. pull someone's leg
RSA9lBq2irA|470. get the hang of it
-L71S0Ko3Is|471. cover a lot of ground
yDBceH7x3F0|472. in cold blood
dndG0FO3sSo|473. hit the books
Q5D_6GYEV0Y|474. all bark and no bite
U8oOexbavTo|475. draw a conclusion
nf0sYHzcme0|476. worth every penny
c8mctHDU45c|477. run-of-the-mill
uJHKUfHd_t8|478. bring to the table
svIdt50IJl8|479. in terms of
OBrMzvp6peQ|480. throw in the towel
_O-R4LxadKA|481. due to the fact that
2xCNGl5Pp4Q|482. a for effort
uGH81IvAcTU|483. not my cup of tea
4sEdDdCaciA|484. run out of steam
aH-es14q2FI|485. stiff competition
4ep6lH8pQR4|486. make a stopover
kUVy4V9W_7o|487. clearance sale
pKRGltPYNbY|488. couch potato
wUuekDR1DhE|489. fit as a fiddle
VJ78BFQ9udU|490. hit the spot
wQjXUtD5oOw|491. fast track
ylaYh83nF9I|492. in the event of
9DwSO7YnKUM|493. you can say that again
KCyg_T1g3Sc|494. between a rock and a hard place
G6gtGciwNTo|495. by the book
Vw3H0LHaH70|496. give it a shot
En5qtk48s9Y|497. white-collar worker
USOygRKjuEk|498. count heads
ZIk44Zmm9Kw|499. walk on air
bH_mQdujgVo|500. on behalf of
WqL1XP1XqaQ|501. put the cart before the horse
u2LEbpL9D7k|502. hands are tied
IHa8X_xUukQ|503. by the skin of one's teeth
ryjaMo82llw|504. uphill battle
a5HJdxDZPmo|505. raining cats and dogs
B_Jk0P1kWZg|506. keep your eye on the ball
POue6gu7HOk|507. that's the last straw
RfmFvOoSdHM|508. stem from
LICTqSpWPEc|509. beat a dead horse
3ZIiHnaLJ0c|510. hit the jackpot
tJ-n1VdZe04|511. go cold turkey
xNdPZTRlnvc|512. rip-off
91C_B8YLAPg|513. make a contribution to
oPRfMkT8eaA|514. in over your head
O_g6YmOfIdg|515. down to earth
JiFQjej8E3U|516. take with a grain of salt
B3WnSeihEIE|517. not going to fly
5DtEbcijwZw|518. in light of
_wMvXkhtm1k|519. for practical purposes
tIhoFAGfU2k|520. go for broke
0V6Ov9eixtk|521. come clean
UrRYEtLrX1I|522. live and learn
BnBB1FDVIBI|523. with the exception of
UcBzYYBXjkg|524. briefly stated
FM7reNxsmaQ|525. money talks
YYvgKbZ8cuQ|526. put forward
WNTEvOIALhg|527. with a fine-tooth comb
G80hyreqAAw|528. at the crack of dawn
MYo2B89h60I|529. cheapskate
MjaIcik_rBE|530. wash your hands of
gOWDN57oOws|531. zero hour
tCMSov3rNYs|532. get a kick out of
HEO5P7-hTBo|533. steal someone's thunder
fm7ruaVUGsc|534. chew someone out
SA44q1FmiKY|535. on the same page
OM7OgqUMIBk|536. show up in droves
_n59U4IMTYo|537. day in, day out
00GDCV0fZZs|538. take it easy
n_8HIBS18_s|539. hang in there
RipK9_MlJAo|540. cat got your tongue
LFcWLsgqZ2I|541. on thin ice
6zla5oQNKTo|542. an apple a day keeps the doctor away
GDs64p2Vdwo|543. crunch the numbers
TM6UxJ5ZRHM|544. spanner in the works
JHArL4WjHqg|545. double-check
KJVVfPQr01Q|546. set in stone
3goLJboc8tY|547. to some extent
N2PbGETNWLo|548. don't cry over spilt milk
uBwS8xuo45g|549. on the move
sSt9o0tDFg4|550. can't cut it
7PQC0WCF9Zk|551. break the ice
uM-BBisn1sA|552. give someone a hand
kWnAvoP1FlI|553. last but not least
zI_78uV-O1A|554. nevertheless
H0PDbkHeJXg|555. fly off the handle
r-NnzKJWSdI|556. cut to the chase
5qfWjz-fCBg|557. miss the boat
yTaZw04qNYk|558. method to my madness
Fl3ORNiT7j4|559. catch some rays
Ucvy5qPPK60|560. consequently
MvmX7sdgS2s|561. for a song
LGtMa6tnOBA|562. quick study
nrAlWsDdKOE|563. in a nutshell
RFBUnR4CixQ|564. splurge
7e2VrWKtFoE|565. weather the storm
D37WrqQgbRE|566. cash cow
QeO-h_RXHK0|567. turn out to be
WVqLXkW9MAU|568. beat around the bush
rXeQz_gVN70|569. staycation
X6q3Xq9K5Ec|570. just in case
Tm1dfu52JRU|571. cool your heels
eeG0CkYuMbY|572. let the cat out of the bag
jJWcoFMg0Mo|573. under someone's thumb
zsbZsS7PqCY|574. far-fetched
jhYK7J90K_o|575. cut corners
LJ9E2XNjb6U|576. scrimp and save
Rko6prtm_Ms|577. stay ahead of the curve
Rwd4Fh-l1VE|578. loose cannon
4gJj3MiPrOY|579. to the point
8Hx0BhtqwmY|580. all ears
_hJID6J4dpc|581. ships that pass in the night
iIGe2LPTC6c|582. on the fly
lkME8H3OEls|583. not playing with a full deck
KWfoBvOmazQ|584. can't put your finger on it
CCd-1japq-g|585. at the drop of a hat
